Checksum,Name
869D4E2C,CallWindowProcA
7249FB7D,CallWindowProcW
0199DC99,CopyFileA
F54D69C8,CopyFileW
553B5C78,CreateFileA
B41B926C,CreateFileMappingA
40CF273D,CreateFileMappingW
A1EFE929,CreateFileW
A851D916,CreateProcessA
12736A0D,CreateProcessAsUserA
E6A7DF5C,CreateProcessAsUserW
81E21333,CreateProcessInternalA
7536A662,CreateProcessInternalW
5C856C47,CreateProcessW
92AC8308,CreateProcessWithLogonW
FF808C10,CreateRemoteThread
3CC5726B,CreateRemoteThreadEx
906A06B0,CreateThread
4471EE50,CreateTimerQueueTimer
0AC8FB92,DeviceIoControl
0AF4965C,DialogBoxIndirectParamA
FE20230D,DialogBoxIndirectParamW
E45313B0,DispCallFunc
235D9A6D,EnumCalendarInfoA
D7892F3C,EnumCalendarInfoW
1B449DD0,EnumDateFormatsA
EF902881,EnumDateFormatsW
5F30F19F,EnumDesktopsA
ABE444CE,EnumDesktopsW
1A54E213,EnumDesktopWindows
8BBDCC80,EnumerateLoadedModules
3B58CDDC,EnumerateLoadedModulesEx
A853EDE8,EnumerateLoadedModulesExW
05D378E3,EnumLanguageGroupLocalesA
F107CDB2,EnumLanguageGroupLocalesW
ABBC3EBB,EnumPropsExA
5F688BEA,EnumPropsExW
ACD0F7A3,EnumPwrSchemes
5F0B249B,EnumResourceTypesA
0E5BD0D0,EnumResourceTypesExA
FA8F6581,EnumResourceTypesExW
ABDF91CA,EnumResourceTypesW
CA5263FE,EnumSystemCodePagesA
3E86D6AF,EnumSystemCodePagesW
305DBEF4,EnumSystemLanguageGroupsA
C4890BA5,EnumSystemLanguageGroupsW
E2BFB9CE,EnumSystemLocalesA
166B0C9F,EnumSystemLocalesW
AF5AA374,EnumThreadWindows
76243B4B,EnumTimeFormatsA
82F08E1A,EnumTimeFormatsW
6F68BDB7,EnumUILanguagesA
9BBC08E6,EnumUILanguagesW
435A600B,EnumWindows
A6C6DCED,EnumWindowStationsA
521269BC,EnumWindowStationsW
C97C1FFF,GetProcAddress
B0D32AEE,GrayStringA
44079FBF,GrayStringW
3FC1BD8D,LoadLibraryA
9B102E2D,LoadLibraryExA
6FC49B7C,LoadLibraryExW
CB1508DC,LoadLibraryW
A89B382F,MapViewOfFile
A81778D9,MapViewOfFileEx
DE9FF0D1,MoveFileA
2A4B4580,MoveFileW
BC7CA6BD,NotifyIpInterfaceChange
F96D24A1,NotifyTeredoPortChange
F435466C,NotifyUnicastIpAddressChange
0E064A10,QueueUserAPC
8DE030C1,RegCreateKeyA
54D56398,RegCreateKeyExA
A001D6C9,RegCreateKeyExW
79348590,RegCreateKeyW
E6D4E36C,RegSetKeyValueA
1200563D,RegSetKeyValueW
36C0B928,RegSetValueA
4F0DAB99,RegSetValueExA
BBD91EC8,RegSetValueExW
C2140C79,RegSetValueW
3872BEB9,ResumeThread
1C0CD35C,RtlMoveMemory
8171B112,SendMessageCallbackA
75A50443,SendMessageCallbackW
5688CBD8,SetThreadContext
FE876E09,SetWindowLongA
0A53DB58,SetWindowLongW
8A0AEEE7,SetWindowsHookExA
7EDE5BB6,SetWindowsHookExW
AA66F348,SetWinEventHook
86E01598,SHCreateThread
A312EE96,SHCreateThreadWithHandle
EB7C1488,ShellExecuteA
1FA8A1D9,ShellExecuteW
48FEA11E,WinExec
4F58972E,WriteProcessMemory
05ED08A5,
437A4F2D,
66783659,
B7AEFA7C,
